"수도권여부","가구주_성별코드","가구원수","가구주_교육정도_학력코드","가구주_직업대분류코드","가구주_만연령","자산_금융자산_저축금액","자산_실물자산_부동산금액","부채_금융부채_담보대출금액","부채_금융부채_신용대출금액","경상소득(보완)","지출_소비지출_식료품(외식비포함)","지출_소비지출_주거비","지출_소비지출_교육비(보육료포함)","지출_비소비지출_세금(보완)"
G1,1,1,1,,64,1,0,0,0,1379,660,312,0,0
G1,1,1,1,,74,2400,19300,0,0,1841,450,190,0,23
G1,1,1,1,,81,200,0,0,0,954,500,300,0,0
G1,1,1,1,,82,850,0,0,0,930,120,160,0,1
G1,1,1,1,,83,10500,36000,0,0,1157,360,150,0,42
G1,1,1,1,,84,220,0,0,0,737,240,120,0,0
G1,1,1,1,,87,9,0,0,0,804,180,24,0,1
G1,1,1,1,,90,1000,33000,0,0,1538,300,288,0,37
G1,1,1,1,8,58,4296,0,0,0,2131,600,540,0,182
G1,1,1,1,9,33,5360,0,0,1500,3534,500,120,0,51
G1,1,1,1,9,73,20,0,0,0,1374,120,120,0,0
G1,1,1,2,,46,0,0,0,0,26,360,200,0,1
G1,1,1,2,,54,80,0,0,0,1684,600,456,0,0
G1,1,1,2,,56,5,0,0,0,823,120,84,0,0
G1,1,1,2,,59,180,0,0,0,665,200,140,0,1
G1,1,1,2,,60,613,0,1430,0,924,120,132,0,0
G1,1,1,2,,60,870,0,0,0,1843,720,479,0,1
G1,1,1,2,,61,106,0,0,0,46,960,360,0,1
G1,1,1,2,,63,10,0,0,160,1036,400,180,0,0
G1,1,1,2,,64,1,0,0,0,3625,300,588,0,35
G1,1,1,2,,65,300,0,950,0,1059,250,300,0,1
G1,1,1,2,,66,8675,55000,0,0,830,420,180,0,36
G1,1,1,2,,68,10,0,0,0,1100,300,420,0,1
G1,1,1,2,,68,1200,0,0,0,1024,300,300,0,1
G1,1,1,2,,68,700,0,0,0,1412,300,370,0,1
G1,1,1,2,,69,1,0,0,0,926,140,300,8,0
G1,1,1,2,,69,1945,9500,5000,0,661,300,204,0,5
G1,1,1,2,,70,3452,13000,0,0,1526,680,96,0,15
G1,1,1,2,,71,2,0,0,0,738,530,100,0,1
G1,1,1,2,,72,20,0,0,50,788,360,108,0,0
G1,1,1,2,,72,720,5200,3300,0,1204,600,120,0,5
G1,1,1,2,,72,9000,7800,0,0,290,600,108,0,10
G1,1,1,2,,73,10,0,0,0,970,300,120,0,1
G1,1,1,2,,73,1000,7800,0,0,1391,300,150,0,78
G1,1,1,2,,73,20,0,0,0,790,360,48,0,1
G1,1,1,2,,73,3,0,120,0,1577,300,350,0,1
G1,1,1,2,,73,40,0,0,0,977,216,190,0,0
G1,1,1,2,,73,548,0,0,0,758,360,150,0,0
G1,1,1,2,,74,6447,0,0,0,893,480,36,0,2
G1,1,1,2,,74,800,6000,0,0,935,240,60,0,7
G1,1,1,2,,75,6600,0,0,0,513,600,80,0,2
G1,1,1,2,,76,10,0,0,0,1272,120,300,0,0
G1,1,1,2,,76,100,0,0,0,819,300,72,0,0
G1,1,1,2,,77,4600,0,0,0,1046,360,270,0,1
G1,1,1,2,,79,1,0,0,0,1137,240,216,0,0
G1,1,1,2,,80,1,0,0,0,772,300,168,0,0
G1,1,1,2,,80,20,0,0,0,930,600,180,0,0
G1,1,1,2,,80,30,32000,0,0,603,54,216,0,17
G1,1,1,2,,80,600,0,0,8450,834,300,100,0,1
G1,1,1,2,,81,10,0,0,0,880,300,150,0,1
G1,1,1,2,,82,29,0,0,0,816,360,188,0,0
G1,1,1,2,,85,1000,99000,0,0,3633,360,250,0,407
G1,1,1,2,,86,150,0,0,0,774,240,144,0,1
G1,1,1,2,,86,400,0,0,0,831,360,80,0,2
G1,1,1,2,,96,100,0,0,0,1617,500,100,0,0
G1,1,1,2,2,64,350,0,100,0,1676,240,540,0,5
G1,1,1,2,3,66,1000,140000,8000,0,3520,400,320,0,315
